pmid,primary_domain,domains
1942182,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
1949239,Infectious diseases,Immunology & allergy|Infectious diseases
1978331,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1979356,Cardiovascular medicine,Cardiovascular medicine
1979484,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1983039,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
1984490,Pharmacology/therapeutics & drug discovery,Oncology & neoplasms|Pharmacology/therapeutics & drug discovery
1992626,Gastroenterology & hepatology,Gastroenterology & hepatology
1998333,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2030791,Neurology,Neurology
2059900,Endocrinology & metabolism,Cardiovascular medicine|Endocrinology & metabolism
2062397,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
2093257,Unmapped,
2095843,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2101731,Neurology,Neurology
2105461,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2112565,Neurology,Neurology
2127684,Unmapped,
2142022,Geriatrics & aging,Geriatrics & aging
2154743,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2173390,Endocrinology & metabolism,Endocrinology & metabolism
2176016,Oncology & neoplasms,Oncology & neoplasms
2176962,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2180939,Neurology,Neurology
2189302,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
2189307,Cardiovascular medicine,Cardiovascular medicine
2195948,Rheumatology & autoimmune,Rheumatology & autoimmune
2199873,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
2200377,Unmapped,
2204977,Psychiatry & psychology,Psychiatry & psychology
2209614,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2220809,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2227059,Psychiatry & psychology,Neurology|Psychiatry & psychology
2238088,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2247152,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2249848,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2253708,Microbiology & virology,Genetics/genomics & molecular biology|Microbiology & virology
2255999,Pediatrics,Orthopedics & musculoskeletal|Pediatrics
2256586,Rheumatology & autoimmune,Gastroenterology & hepatology|Ophthalmology & vision|Pharmacology/therapeutics & drug discovery|Rheumatology & autoimmune
2286751,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
2298257,Unmapped,
2300562,Microbiology & virology,Genetics/genomics & molecular biology|Immunology & allergy|Microbiology & virology
2305211,Oncology & neoplasms,Oncology & neoplasms
2309926,Neurology,Neurology
2311208,Geriatrics & aging,Geriatrics & aging
2319581,Oncology & neoplasms,Neurology|Oncology & neoplasms
2326195,Microbiology & virology,Genetics/genomics & molecular biology|Microbiology & virology
2331828,Pulmonology,Oncology & neoplasms|Pulmonology
2345102,Dermatology,Dermatology
2345155,Unmapped,
2347353,Pediatrics,Pediatrics
2347863,Unmapped,
2357882,Cardiovascular medicine,Cardiovascular medicine
2358611,Endocrinology & metabolism,Cardiovascular medicine|Endocrinology & metabolism
2359730,Dermatology,Dermatology
2373612,Unmapped,
2477873,Oncology & neoplasms,Dermatology|Oncology & neoplasms
2505416,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2510913,Dermatology,Dermatology
2520442,Unmapped,
2558756,Gastroenterology & hepatology,Gastroenterology & hepatology
2579060,Microbiology & virology,Genetics/genomics & molecular biology|Microbiology & virology
2600179,Pediatrics,Pediatrics
2630235,Pediatrics,Infectious diseases|Pediatrics
2652316,Oncology & neoplasms,Oncology & neoplasms
2660231,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
2682215,Pharmacology/therapeutics & drug discovery,Neurology|Pharmacology/therapeutics & drug discovery
2682738,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2683920,Pharmacology/therapeutics & drug discovery,Infectious diseases|Pharmacology/therapeutics & drug discovery
2687104,Geriatrics & aging,Geriatrics & aging
2687698,Immunology & allergy,Immunology & allergy
2692969,Psychiatry & psychology,Psychiatry & psychology
2694348,Oncology & neoplasms,Oncology & neoplasms
2702506,Unmapped,
2720439,Cardiovascular medicine,Cardiovascular medicine
2726431,Cardiovascular medicine,Cardiovascular medicine
2743779,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
2766606,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
2769286,Neurology,Neurology
2773621,Gastroenterology & hepatology,Gastroenterology & hepatology
2775668,Neurology,Neurology
2784211,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
2790826,Oncology & neoplasms,Neurology|Oncology & neoplasms
2794625,Neurology,Neurology
2813401,Pulmonology,Cardiovascular medicine|Pulmonology
2816867,Pediatrics,Neurology|Pediatrics
2819350,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
2830793,Cardiovascular medicine,Cardiovascular medicine
2848686,Pharmacology/therapeutics & drug discovery,Cardiovascular medicine|Pharmacology/therapeutics & drug discovery
2854272,Neurology,Cardiovascular medicine|Neurology
2855780,Oncology & neoplasms,Oncology & neoplasms
2858176,Neurology,Neurology
2895008,Neurology,Neurology
2907699,Pediatrics,Pediatrics
2933494,Dermatology,Dermatology
2934121,Pharmacology/therapeutics & drug discovery,Cardiovascular medicine|Endocrinology & metabolism|Pharmacology/therapeutics & drug discovery
2936238,Pharmacology/therapeutics & drug discovery,Cardiovascular medicine|Nephrology|Pharmacology/therapeutics & drug discovery
2960110,Psychiatry & psychology,Pharmacology/therapeutics & drug discovery|Psychiatry & psychology
3018425,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
3023854,Microbiology & virology,Genetics/genomics & molecular biology|Microbiology & virology
3034654,Unmapped,
3035513,Geriatrics & aging,Cardiovascular medicine|Geriatrics & aging
3039469,Oncology & neoplasms,Gastroenterology & hepatology|Oncology & neoplasms
3042912,Neurology,Neurology
3047212,Gastroenterology & hepatology,Gastroenterology & hepatology
3048796,Oncology & neoplasms,Oncology & neoplasms
3111770,Orthopedics & musculoskeletal,Oncology & neoplasms|Orthopedics & musculoskeletal
3115977,Immunology & allergy,Immunology & allergy
3117031,Cardiovascular medicine,Cardiovascular medicine
3133104,Pharmacology/therapeutics & drug discovery,Hematology|Pharmacology/therapeutics & drug discovery
3135240,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
3146524,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
3162545,Immunology & allergy,Immunology & allergy
3174510,Gastroenterology & hepatology,Gastroenterology & hepatology
3178044,Oncology & neoplasms,Oncology & neoplasms
3181644,Endocrinology & metabolism,Cardiovascular medicine|Endocrinology & metabolism
3191000,Cardiovascular medicine,Cardiovascular medicine
3219911,Neurology,Neurology
3230497,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
3271526,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
3284751,Unmapped,
3287769,Rheumatology & autoimmune,Endocrinology & metabolism|Immunology & allergy|Rheumatology & autoimmune
3289612,Oncology & neoplasms,Oncology & neoplasms
3292449,Pediatrics,Pediatrics
3300731,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
3301898,Pediatrics,Pediatrics
3303067,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
3311578,Dermatology,Dermatology
3328895,Pharmacology/therapeutics & drug discovery,Infectious diseases|Pharmacology/therapeutics & drug discovery
3338422,Pediatrics,Pediatrics
3339667,Unmapped,
3357886,Microbiology & virology,Genetics/genomics & molecular biology|Microbiology & virology
3371613,Gastroenterology & hepatology,Gastroenterology & hepatology
3408089,Ophthalmology & vision,Ophthalmology & vision
3435068,Pharmacology/therapeutics & drug discovery,Neurology|Pharmacology/therapeutics & drug discovery
3454289,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
3526284,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
3527396,Neurology,Gastroenterology & hepatology|Neurology
3549808,Unmapped,
3558369,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
3579222,Pharmacology/therapeutics & drug discovery,Neurology|Pharmacology/therapeutics & drug discovery
3584810,Unmapped,
3601096,Unmapped,
3627621,Rheumatology & autoimmune,Rheumatology & autoimmune
3631419,Unmapped,
3679580,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
3721910,Unmapped,
3725833,Neurology,Neurology
3736130,Pediatrics,Pediatrics
3768865,Neurology,Neurology
3797419,Neurology,Neurology
3799419,Unmapped,
3800424,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
3819235,Unmapped,
3871127,Unmapped,
3886611,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
3887409,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
3911280,Psychiatry & psychology,Psychiatry & psychology
3925257,Unmapped,
3929246,Immunology & allergy,Immunology & allergy
3949445,Unmapped,
3967429,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
3991250,Pharmacology/therapeutics & drug discovery,Infectious diseases|Pediatrics|Pharmacology/therapeutics & drug discovery
4050642,Psychiatry & psychology,Neurology|Psychiatry & psychology
4058248,Geriatrics & aging,Geriatrics & aging
4059144,Rheumatology & autoimmune,Rheumatology & autoimmune
4061095,Unmapped,
4072955,Unmapped,
4086775,Unmapped,
4087563,Pharmacology/therapeutics & drug discovery,Gastroenterology & hepatology|Pharmacology/therapeutics & drug discovery
4448362,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
5940325,Ophthalmology & vision,Ophthalmology & vision
6085175,Neurology,Neurology
6134470,Endocrinology & metabolism,Cardiovascular medicine|Endocrinology & metabolism
6157679,Gastroenterology & hepatology,Gastroenterology & hepatology
6180691,Cardiovascular medicine,Cardiovascular medicine
6214719,Oncology & neoplasms,Dermatology|Gastroenterology & hepatology|Genetics/genomics & molecular biology|Oncology & neoplasms
6249092,Unmapped,
6270519,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
6300765,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
6342420,Psychiatry & psychology,Neurology|Psychiatry & psychology
6395627,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
6396519,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
6437857,Pharmacology/therapeutics & drug discovery,Gastroenterology & hepatology|Nephrology|Neurology|Pharmacology/therapeutics & drug discovery
6472165,Pulmonology,Microbiology & virology|Pulmonology
6518066,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
6613471,Hematology,Hematology
6622440,Unmapped,
6626051,Cardiovascular medicine,Cardiovascular medicine
6633857,Pediatrics,Neurology|Pediatrics
6650562,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
6726718,Rheumatology & autoimmune,Rheumatology & autoimmune
6727432,Pediatrics,Infectious diseases|Microbiology & virology|Pediatrics
6756878,Gastroenterology & hepatology,Endocrinology & metabolism|Gastroenterology & hepatology
6769152,Gastroenterology & hepatology,Gastroenterology & hepatology
6817377,Unmapped,
6823106,Nephrology,Nephrology
6884360,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
6945487,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
6966005,Pediatrics,Infectious diseases|Pediatrics
7003354,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7049034,Ophthalmology & vision,Endocrinology & metabolism|Obstetrics/gynecology & reproductive|Ophthalmology & vision
7071666,Unmapped,
7081547,Microbiology & virology,Microbiology & virology
7124837,Pediatrics,Genetics/genomics & molecular biology|Pediatrics
7139628,Pharmacology/therapeutics & drug discovery,Obstetrics/gynecology & reproductive|Pharmacology/therapeutics & drug discovery
7204439,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
7240694,Oncology & neoplasms,Hematology|Oncology & neoplasms
7243138,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
7255146,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
7270517,Pediatrics,Neurology|Pediatrics
7282320,Unmapped,
7316680,Psychiatry & psychology,Neurology|Psychiatry & psychology
7375968,Rheumatology & autoimmune,Pediatrics|Rheumatology & autoimmune
7407830,Cardiovascular medicine,Cardiovascular medicine
7416166,Pediatrics,Pediatrics
7431445,Pharmacology/therapeutics & drug discovery,Orthopedics & musculoskeletal|Pediatrics|Pharmacology/therapeutics & drug discovery
7472327,Neurology,Neurology
7473738,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7493597,Geriatrics & aging,Geriatrics & aging
7494397,Unmapped,
7498977,Cardiovascular medicine,Cardiovascular medicine
7503523,Unmapped,
7511773,Microbiology & virology,Infectious diseases|Microbiology & virology
7513085,Neurology,Neurology
7525736,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7529539,Pediatrics,Endocrinology & metabolism|Infectious diseases|Orthopedics & musculoskeletal|Pediatrics
7529964,Pediatrics,Genetics/genomics & molecular biology|Pediatrics
7533711,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
7534789,Microbiology & virology,Gastroenterology & hepatology|Microbiology & virology
7545825,Endocrinology & metabolism,Endocrinology & metabolism
7553078,Neurology,Endocrinology & metabolism|Neurology
7554113,Cardiovascular medicine,Cardiovascular medicine
7555349,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
7556180,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
7560033,Pediatrics,Pediatrics
7582897,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7600978,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7602678,Immunology & allergy,Immunology & allergy
7614092,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7619418,Infectious diseases,Infectious diseases
7630231,Ophthalmology & vision,Ophthalmology & vision
7634390,Microbiology & virology,Genetics/genomics & molecular biology|Microbiology & virology
7641035,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
7651772,Pediatrics,Microbiology & virology|Pediatrics
7656507,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
7662116,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7666681,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
7667004,Infectious diseases,Immunology & allergy|Infectious diseases
7673463,Immunology & allergy,Immunology & allergy
7678183,Endocrinology & metabolism,Endocrinology & metabolism
7684656,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7690495,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
7695814,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7717398,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7720713,Pharmacology/therapeutics & drug discovery,Genetics/genomics & molecular biology|Pharmacology/therapeutics & drug discovery
7721348,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7723058,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7731693,Pediatrics,Neurology|Oncology & neoplasms|Pediatrics
7731795,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7731961,Pharmacology/therapeutics & drug discovery,Microbiology & virology|Pharmacology/therapeutics & drug discovery
7738205,Endocrinology & metabolism,Endocrinology & metabolism
7739614,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7754892,Unmapped,
7756302,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7758945,Oncology & neoplasms,Oncology & neoplasms
7771476,Pediatrics,Nephrology|Pediatrics
7773660,Pediatrics,Pediatrics
7776900,Urology,Oncology & neoplasms|Urology
7777669,Cardiovascular medicine,Cardiovascular medicine
7786016,Unmapped,
7795598,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7802437,Gastroenterology & hepatology,Gastroenterology & hepatology
7804457,Neurology,Immunology & allergy|Neurology
7808510,Microbiology & virology,Microbiology & virology
7813093,Unmapped,
7823770,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
7824865,Gastroenterology & hepatology,Gastroenterology & hepatology
7828232,Unmapped,
7834888,Pediatrics,Pediatrics
7842074,Pediatrics,Pediatrics
7852758,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
7869998,Nephrology,Nephrology
7870637,Endocrinology & metabolism,Endocrinology & metabolism
7873471,Cardiovascular medicine,Cardiovascular medicine
7875314,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7876010,Gastroenterology & hepatology,Gastroenterology & hepatology
7884500,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
7894480,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7900601,Oncology & neoplasms,Oncology & neoplasms
7909957,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7916404,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7926300,Endocrinology & metabolism,Endocrinology & metabolism
7932780,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7935490,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7940578,Immunology & allergy,Immunology & allergy
7944863,Cardiovascular medicine,Cardiovascular medicine
7946321,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7957966,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
7965021,Neurology,Neurology
7965768,Unmapped,
7966296,Unmapped,
7969211,Pharmacology/therapeutics & drug discovery,Neurology|Pharmacology/therapeutics & drug discovery
7973466,Psychiatry & psychology,Genetics/genomics & molecular biology|Psychiatry & psychology
7975766,Oncology & neoplasms,Oncology & neoplasms
7978355,Immunology & allergy,Immunology & allergy
7978750,Oncology & neoplasms,Oncology & neoplasms
7981855,Pediatrics,Pediatrics
7991729,Psychiatry & psychology,Neurology|Pediatrics|Psychiatry & psychology
7993706,Rheumatology & autoimmune,Rheumatology & autoimmune
7999980,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8021081,Infectious diseases,Dermatology|Infectious diseases
8022486,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8023851,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8024257,Pharmacology/therapeutics & drug discovery,Neurology|Pharmacology/therapeutics & drug discovery
8031346,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive|Pharmacology/therapeutics & drug discovery
8039276,Cardiovascular medicine,Cardiovascular medicine
8042708,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8050148,Unmapped,
8059339,Neurology,Immunology & allergy|Neurology
8070428,Cardiovascular medicine,Cardiovascular medicine
8095484,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8105681,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8107218,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8120524,Rheumatology & autoimmune,Endocrinology & metabolism|Rheumatology & autoimmune
8121473,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
8143009,Pediatrics,Infectious diseases|Pediatrics
8144024,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8145639,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8152424,Microbiology & virology,Microbiology & virology
8161465,Neurology,Infectious diseases|Neurology
8177517,Neurology,Neurology
8178948,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8188292,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8195077,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8203078,Unmapped,
8207801,Oncology & neoplasms,Oncology & neoplasms
8214788,Unmapped,
8221703,Neurology,Cardiovascular medicine|Neurology
8227075,Oncology & neoplasms,Genetics/genomics & molecular biology|Immunology & allergy|Oncology & neoplasms
8233439,Unmapped,
8235662,Rheumatology & autoimmune,Pediatrics|Rheumatology & autoimmune
8246062,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
8250530,Neurology,Dermatology|Neurology
8255478,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
8262564,Unmapped,
8275569,Pediatrics,Pediatrics
8276234,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8286427,Unmapped,
8292878,Unmapped,
8300904,Neurology,Neurology
8327500,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8328901,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
8333797,Cardiovascular medicine,Cardiovascular medicine
8336953,Neurology,Neurology
8340096,Pediatrics,Pediatrics
8360442,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
8362051,Unmapped,
8363978,Unmapped,
8365659,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8366095,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8370707,Unmapped,
8371900,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
8374893,Hematology,Hematology
8380072,Microbiology & virology,Genetics/genomics & molecular biology|Microbiology & virology
8384325,Oncology & neoplasms,Oncology & neoplasms
8397367,Oncology & neoplasms,Oncology & neoplasms
8411173,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8411203,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8433382,Microbiology & virology,Microbiology & virology
8437381,Unmapped,
8441637,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8441638,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8459803,Unmapped,
8460633,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
8463526,Geriatrics & aging,Geriatrics & aging
8470439,Gastroenterology & hepatology,Cardiovascular medicine|Gastroenterology & hepatology
8470663,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
8471783,Pediatrics,Neurology|Pediatrics
8473309,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
8478553,Neurology,Neurology
